user_id,churned,days_since_last_trip,days_since_last_session,trips_last_7d,trips_last_30d,trips_last_60d,trips_last_90d,monetary_total,monetary_avg,trips_lifetime,monetary_last_30d,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preferred_payment_encoded,avg_driver_rating_received,session_last_30d,session_last_60d,avg_time_on_app,avg_pages_visited,session_conversation_rate,engagement_score,account_age_days,activity_trend_30d,unique_active_days,was_referred,avg_rating_given,loyalty_encoded,city_encoded
R00030,0,19,0.0,0,1,2,4,261.09,16.32,16,13.05,2,1,1,1.33,34.62,14.63,1.09,0.38,0.56,0.56,0.12,0,3.912,4.0,4.0,351.25,3.0,0.25,6.96,234,0.0,16,1,4.1,0,1
R00031,0,14,0.0,0,1,4,5,552.66,22.11,25,13.99,3,1,5,3.0,36.08,16.78,1.22,0.4,0.68,0.36,0.36,0,4.136,8.0,8.0,55.0,2.25,0.12,4.83,404,-0.5,23,0,4.1,0,1
R00032,0,2,0.0,1,3,5,6,316.68,16.67,19,77.444,5,4,2,3.67,38.74,14.97,1.05,0.26,0.26,0.11,0.11,0,4.511,4.0,4.0,99.0,3.75,0.0,5.92,218,0.33,18,0,5.0,0,0
R00033,0,5,0.0,1,1,4,4,437.95,19.91,22,11.36,4,1,4,3.0,37.14,15.72,1.16,0.23,0.14,0.27,0.14,0,4.173,5.0,5.0,44.2,1.8,0.0,4.39,431,-0.5,22,1,4.6,0,2
R00034,0,8,0.0,0,3,4,5,406.47,18.48,22,43.66,4,4,4,4.0,31.55,14.79,1.14,0.23,0.14,0.36,0.09,0,4.059,6.0,6.0,11.0,2.67,0.0,3.41,323,1.0,22,0,3.1,1,0
R00035,0,5,0.0,1,1,3,4,217.96,19.81,11,17.02,4,1,1,2.0,34.73,16.53,1.14,0.18,0.09,0.27,0.27,0,4.2,7.0,7.0,37.57,1.71,0.14,4.18,92,-0.33,11,0,4.7,0,0
R00036,0,13,0.0,0,2,4,6,411.22,17.13,24,35.78,3,3,4,3.33,32.42,14.17,1.12,0.29,0.29,0.25,0.21,0,4.158,3.0,3.0,29.0,2.33,0.0,4.23,358,0.0,24,0,3.9,0,1
R00037,0,29,0.0,0,1,2,3,373.33,19.65,19,14.412,2,1,3,2.0,32.32,15.05,1.17,0.79,0.0,0.47,0.32,0,4.295,1.0,1.0,46.0,5.0,0.0,5.44,420,0.0,19,0,3.9,2,0
R00038,0,21,0.0,0,1,4,5,272.11,15.12,18,32.814,2,1,1,1.33,30.83,13.17,1.1,0.22,0.17,0.39,0.06,0,4.394,4.0,4.0,117.75,2.75,0.25,5.78,502,-0.5,18,0,5.0,1,0
R00039,1,6,0.0,1,2,3,4,179.76,12.84,14,16.22,4,3,1,2.67,31.07,12.34,1.01,0.43,0.21,0.21,0.07,0,4.479,7.0,7.0,54.71,2.86,0.0,5.06,235,0.5,14,0,4.5,0,0
R00040,0,9,0.0,0,2,3,6,212.93,14.2,15,29.97,4,3,1,2.67,31.73,13.06,1.06,0.33,0.13,0.4,0.07,0,4.167,4.0,4.0,96.75,3.0,0.0,5.67,273,0.5,15,0,3.9,1,2
R00041,0,0,0.0,1,2,2,6,271.3,15.96,17,20.200000000000003,5,3,1,3.0,28.0,14.42,1.1,0.18,0.59,0.53,0.12,0,4.218,3.0,3.0,35.0,3.33,0.0,4.77,496,2.0,17,0,3.7,0,1
R00042,0,20,0.0,0,1,2,2,283.11,16.65,17,15.19,2,1,1,1.33,35.24,13.37,1.15,0.35,0.35,0.12,0.24,0,4.041,3.0,3.0,19.67,4.0,0.0,4.38,570,0.0,17,0,3.9,0,1
R00043,0,2,0.0,2,3,5,8,418.6,19.93,21,71.566,5,4,4,4.33,39.48,16.89,1.12,0.38,0.24,0.33,0.14,0,4.419,3.0,3.0,76.67,1.33,0.0,4.63,209,0.33,20,0,3.7,0,0
R00044,0,61,0.0,0,0,0,1,406.07,22.56,18,0.0,1,1,4,2.0,31.67,17.23,1.23,0.17,0.39,0.28,0.44,0,4.006,6.0,6.0,73.83,3.17,0.0,5.46,154,0.0,18,0,4.7,0,2
R00045,0,29,0.0,0,1,1,3,366.82,20.38,18,16.406,2,1,3,2.0,36.39,16.64,1.19,0.22,0.22,0.44,0.28,0,4.256,9.0,9.0,61.22,2.89,0.0,5.18,135,1.0,17,0,4.8,0,0
R00046,0,9,0.0,0,1,3,4,483.49,16.67,29,12.92,4,1,5,3.33,29.72,14.69,1.09,0.31,0.28,0.28,0.17,0,4.397,5.0,5.0,129.4,4.2,0.4,6.3,499,-0.33,28,0,4.7,0,2
R00047,0,7,0.0,0,2,3,7,406.63,19.36,21,49.28,4,3,4,3.67,30.52,16.41,1.09,0.33,0.14,0.24,0.14,0,4.043,3.0,3.0,135.33,2.33,0.0,5.76,358,0.5,21,0,3.9,0,0
R00048,1,0,0.0,1,1,2,3,432.27,20.58,21,16.388,5,1,4,3.33,30.86,14.91,1.27,0.38,0.05,0.29,0.38,0,4.248,5.0,5.0,13.0,2.4,0.0,3.47,366,0.0,20,0,4.5,0,0
R00049,0,3,0.0,1,1,2,3,321.92,17.88,18,9.013,5,1,2,2.67,24.44,14.88,1.11,0.44,0.72,0.33,0.17,0,4.261,11.0,11.0,49.36,2.45,0.18,4.8,471,0.0,18,0,4.7,1,1
R00050,0,96,0.0,0,0,0,0,300.64,23.13,13,0.0,1,1,2,1.33,35.23,15.97,1.25,0.23,0.54,0.08,0.08,0,4.162,11.0,11.0,88.27,3.18,0.0,5.64,516,0.0,12,0,5.0,0,1
R00051,0,16,0.0,0,2,4,4,359.58,16.34,22,70.68,3,3,3,3.0,31.41,13.78,1.1,0.32,0.32,0.09,0.14,0,3.918,8.0,8.0,121.38,3.0,0.12,5.9,359,0.0,22,1,4.3,0,0
R00052,1,23,0.0,0,1,2,3,439.22,19.96,22,10.09,2,1,4,2.33,23.77,15.66,1.19,0.36,0.27,0.27,0.32,0,4.223,3.0,3.0,125.67,3.67,0.33,6.14,485,0.0,21,1,4.7,0,0
R00053,0,2,0.0,1,2,3,5,321.62,16.93,19,45.665000000000006,5,3,2,3.33,33.16,14.94,1.08,0.32,0.05,0.26,0.21,0,3.826,1.0,1.0,53.0,5.0,1.0,5.58,480,0.5,19,0,4.7,0,2
R00054,0,4,0.0,1,2,3,4,280.87,18.72,15,34.46,5,3,1,3.0,26.47,16.61,1.07,0.33,0.27,0.27,0.07,0,4.193,4.0,4.0,49.5,3.5,0.5,5.16,415,0.5,15,1,5.0,1,0
R00055,1,10,0.0,0,2,3,5,378.25,21.01,18,41.51,3,3,3,3.0,32.06,17.18,1.13,0.28,0.61,0.28,0.33,0,4.106,2.0,2.0,2.5,2.5,0.0,1.98,205,0.5,18,0,4.1,0,1
R00056,0,40,0.0,0,0,3,3,397.63,17.29,23,0.0,1,1,3,1.67,30.09,15.16,1.11,0.26,0.26,0.22,0.3,0,4.178,2.0,2.0,65.0,3.5,0.0,5.43,455,-0.75,23,1,5.0,0,2
R00058,0,6,0.0,1,2,3,4,309.47,19.34,16,51.362,4,3,2,3.0,28.69,15.8,1.1,0.5,0.06,0.25,0.25,0,4.194,5.0,5.0,71.2,1.8,0.4,4.86,563,0.5,16,0,5.0,2,0
R00060,0,7,0.0,0,2,4,6,322.41,16.97,19,31.905,4,3,2,3.0,33.95,14.31,1.11,0.11,0.47,0.37,0.11,0,4.1,5.0,5.0,285.8,3.0,0.0,6.76,134,0.0,19,1,4.7,0,1
R00061,0,49,0.0,0,0,1,2,488.96,18.81,26,0.0,1,1,5,2.33,27.81,15.22,1.17,0.31,0.27,0.19,0.23,0,4.015,2.0,2.0,15.5,3.0,0.0,3.86,291,-0.5,25,0,4.1,0,2
R00062,0,25,0.0,0,1,4,7,401.71,18.26,22,13.29,2,1,4,2.33,32.41,15.65,1.09,0.27,0.32,0.18,0.14,0,4.314,3.0,3.0,61.33,5.0,0.33,5.73,581,-0.5,20,1,4.9,1,2
R00064,0,16,0.0,0,3,6,6,334.88,25.76,13,85.365,3,4,2,3.0,27.46,18.49,1.29,0.08,0.46,0.38,0.31,0,4.177,5.0,5.0,171.6,1.4,0.2,5.49,285,0.0,12,0,4.5,1,1
R00065,0,7,0.0,0,2,4,5,402.74,22.37,18,28.1,4,3,4,3.67,24.89,17.52,1.14,0.22,0.22,0.33,0.11,0,4.344,2.0,2.0,8.0,3.0,0.0,3.22,382,0.0,18,0,4.7,1,2
R00066,0,43,0.0,0,0,1,2,312.48,16.45,19,0.0,1,1,2,1.33,27.53,14.17,1.09,0.47,0.21,0.32,0.21,0,4.016,1.0,1.0,18.0,2.0,0.0,3.61,488,-0.5,18,0,4.6,0,2
R00067,0,43,0.0,0,0,2,3,212.24,14.15,15,0.0,1,1,1,1.0,31.73,12.66,1.0,0.8,0.4,0.33,0.07,0,4.493,4.0,4.0,36.5,2.0,0.0,4.3,289,-0.67,15,1,4.6,3,1
R00068,0,4,0.0,1,2,3,5,487.16,18.74,26,33.055,5,3,5,4.33,32.15,14.86,1.16,0.35,0.23,0.23,0.15,0,4.012,10.0,10.0,43.4,2.9,0.1,4.84,278,0.5,26,0,4.2,1,0
R00069,0,1,0.0,1,1,4,5,369.99,14.8,25,10.28,5,1,3,3.0,30.16,13.24,1.06,0.32,0.32,0.28,0.2,0,4.02,6.0,6.0,61.17,3.17,0.0,5.27,73,-0.5,23,1,3.8,0,0
R00070,0,17,0.0,0,2,3,3,395.84,21.99,18,49.480999999999995,3,3,3,3.0,28.22,16.46,1.23,0.44,0.17,0.11,0.28,0,4.328,7.0,7.0,119.71,2.14,0.0,5.55,328,0.5,18,0,5.0,0,0
R00071,0,3,0.0,1,5,5,7,495.64,15.49,32,76.91499999999999,5,5,5,5.0,35.53,13.74,1.08,0.12,0.28,0.34,0.16,0,4.203,5.0,5.0,124.0,4.0,0.0,6.21,705,5.0,32,1,4.1,0,2
R00072,0,21,0.0,0,3,4,5,372.15,18.61,20,37.65,2,4,3,3.0,31.25,15.35,1.12,0.55,0.2,0.3,0.15,0,4.225,3.0,3.0,32.0,2.33,0.67,4.32,407,1.0,20,0,4.3,2,2
R00073,0,12,0.0,0,1,4,4,431.92,27.0,16,50.32,3,1,4,2.67,29.75,18.4,1.32,0.19,0.12,0.56,0.31,0,4.188,2.0,2.0,246.5,2.5,0.0,6.43,534,-0.5,15,0,5.0,1,0
R00074,0,6,0.0,1,3,3,3,372.42,17.73,21,76.144,4,4,3,3.67,27.43,15.08,1.1,0.33,0.24,0.24,0.19,0,4.262,9.0,9.0,122.67,2.89,0.22,5.87,335,3.0,21,0,4.7,1,0
R00075,1,16,0.0,0,3,5,7,451.36,21.49,21,73.648,3,4,4,3.67,32.48,16.51,1.22,0.19,0.38,0.24,0.24,0,4.057,7.0,7.0,58.14,2.71,0.29,5.07,565,0.33,20,1,4.6,0,1
R00077,0,24,0.0,0,2,2,2,296.22,22.79,13,78.226,2,3,2,2.33,29.69,17.44,1.21,0.54,0.0,0.08,0.23,0,4.246,7.0,7.0,369.14,3.43,0.14,7.14,623,2.0,13,0,4.3,1,0
R00078,0,0,0.0,1,1,1,3,470.22,24.75,19,9.47,5,1,5,3.67,25.42,17.23,1.27,0.32,0.42,0.37,0.32,0,4.2,6.0,6.0,91.33,1.83,0.0,5.12,355,1.0,19,0,4.1,0,2
R00079,1,12,0.0,0,2,6,9,676.28,21.82,31,34.05,3,3,5,3.67,38.13,16.68,1.21,0.29,0.29,0.35,0.23,0,4.029,6.0,6.0,62.33,2.83,0.17,5.18,250,-0.4,30,1,4.6,1,2
R00080,0,73,0.0,0,0,0,1,396.15,19.81,20,0.0,1,1,3,1.67,30.6,16.3,1.18,0.15,0.35,0.1,0.25,0,4.095,4.0,4.0,95.5,3.5,0.0,5.81,243,0.0,19,0,4.0,1,0
R00081,0,48,0.0,0,0,1,3,480.57,19.22,25,0.0,1,1,5,2.33,33.72,15.32,1.14,0.2,0.28,0.4,0.2,0,4.188,10.0,10.0,84.4,3.0,0.1,5.54,677,-0.5,25,1,4.6,0,0
R00082,0,0,0.0,1,2,4,5,516.8,24.61,21,28.542,5,3,5,4.33,28.14,17.65,1.2,0.24,0.29,0.33,0.19,0,4.143,4.0,4.0,87.5,2.0,0.0,5.17,372,0.0,21,1,3.7,1,0
R00083,0,19,0.0,0,2,5,7,340.97,20.06,17,80.029,2,3,2,2.33,37.18,16.84,1.12,0.41,0.29,0.35,0.12,0,4.359,5.0,5.0,375.0,3.0,0.2,7.03,573,-0.25,17,1,5.0,0,1
R00084,0,10,0.0,0,1,3,6,440.3,22.02,20,12.5,3,1,4,2.67,30.2,17.3,1.18,0.65,0.15,0.3,0.25,0,4.17,5.0,5.0,393.6,3.2,0.6,7.14,89,-0.33,19,0,4.6,2,0
R00085,0,53,0.0,0,0,2,3,341.87,17.99,19,0.0,1,1,2,1.33,31.47,14.4,1.16,0.42,0.58,0.32,0.21,0,4.2,2.0,2.0,71.0,2.0,0.5,4.96,403,-0.67,19,0,4.5,1,1
R00086,0,45,0.0,0,0,1,2,424.64,17.69,24,0.0,1,1,4,2.0,36.08,14.84,1.1,0.42,0.46,0.38,0.08,0,4.246,1.0,1.0,743.0,2.0,0.0,7.3,686,-0.5,24,0,5.0,0,1
R00087,1,5,0.0,1,4,6,6,365.47,18.27,20,75.09400000000001,4,5,3,4.0,33.95,15.77,1.1,0.4,0.2,0.25,0.2,0,4.175,4.0,4.0,13.25,1.5,0.0,3.04,563,0.67,20,0,4.3,1,0
R00088,0,6,0.0,1,2,2,2,379.67,18.08,21,27.88,4,3,3,3.33,32.95,15.15,1.11,0.33,0.33,0.29,0.19,0,4.086,5.0,5.0,64.8,2.6,0.2,5.13,278,2.0,20,0,3.8,1,0
R00089,0,15,0.0,0,3,5,6,634.84,21.16,30,53.302,3,4,5,4.0,26.47,16.54,1.17,0.33,0.43,0.4,0.2,0,4.233,5.0,5.0,561.0,3.2,0.2,7.49,279,0.33,27,0,4.6,0,1
R00090,0,24,0.0,0,1,2,3,583.6,24.32,24,11.363,2,1,5,2.67,27.67,16.94,1.22,0.75,0.33,0.29,0.33,0,4.167,8.0,8.0,62.12,2.38,0.38,5.0,535,0.0,24,0,4.0,2,1
R00091,0,132,0.0,0,0,0,0,303.19,20.21,15,0.0,1,1,2,1.33,28.47,16.5,1.17,0.47,0.13,0.13,0.2,0,3.973,6.0,6.0,27.67,2.33,0.0,4.18,262,0.0,15,0,4.3,1,0
R00092,0,7,0.0,0,3,4,7,470.91,21.4,22,47.352000000000004,4,4,5,4.33,26.91,16.75,1.15,0.45,0.23,0.36,0.05,0,4.136,4.0,4.0,62.5,2.5,0.25,5.06,633,1.0,22,0,4.4,0,2
R00093,0,0,0.0,1,2,3,5,411.09,15.81,26,29.26,5,3,4,4.0,35.12,14.18,1.05,0.46,0.23,0.35,0.15,0,4.196,5.0,5.0,94.4,2.6,0.0,5.51,65,0.5,25,0,4.5,0,0
R00094,0,10,0.0,0,2,2,4,287.64,14.38,20,22.67,3,3,1,2.33,31.85,13.22,1.05,0.35,0.2,0.6,0.1,0,4.155,11.0,11.0,38.18,2.64,0.27,4.62,635,2.0,19,0,5.0,1,0
R00095,0,84,0.0,0,0,0,1,453.12,20.6,22,0.0,1,1,4,2.0,30.36,16.58,1.17,0.32,0.32,0.27,0.27,0,4.273,5.0,5.0,95.4,3.4,0.2,5.78,246,0.0,20,1,3.8,0,0
R00096,0,13,0.0,0,2,4,5,455.99,19.83,23,32.120000000000005,3,3,4,3.33,29.83,15.56,1.1,0.57,0.3,0.26,0.17,0,4.239,5.0,5.0,39.2,2.4,0.0,4.55,200,0.0,23,1,4.7,2,0
R00097,0,32,0.0,0,0,1,4,248.62,15.54,16,0.0,1,1,1,1.0,32.38,13.05,1.17,0.19,0.44,0.12,0.25,0,4.175,5.0,5.0,87.4,2.0,0.0,5.17,521,-0.5,16,0,5.0,0,2
R00098,0,2,0.0,2,4,6,6,399.86,16.66,24,85.506,5,5,4,4.67,30.79,14.9,1.08,0.17,0.17,0.38,0.12,0,4.367,4.0,4.0,6.5,3.0,0.0,3.02,367,0.67,23,0,4.5,0,0
R00099,1,14,0.0,0,4,5,5,490.03,18.85,26,70.194,3,5,5,4.33,29.38,15.23,1.17,0.27,0.58,0.42,0.23,0,4.162,3.0,3.0,28.0,2.0,0.33,4.04,236,1.5,26,1,5.0,0,1
R00100,0,21,0.0,0,2,3,6,451.55,19.63,23,43.89,2,3,4,3.0,25.61,16.68,1.13,0.22,0.3,0.22,0.22,0,4.209,6.0,6.0,42.17,2.33,0.0,4.6,484,0.5,20,1,4.5,0,0
R00101,0,2,0.0,1,1,2,3,482.68,17.24,28,36.77,5,1,5,3.67,28.5,14.32,1.13,0.39,0.32,0.25,0.21,0,4.282,2.0,2.0,26.0,2.5,0.0,4.19,538,0.0,27,0,3.7,1,0
R00102,0,17,0.0,0,1,2,2,201.11,16.76,12,44.43599999999999,3,2,1,2.0,26.08,14.3,1.11,0.25,0.33,0.33,0.25,0,4.117,4.0,4.0,227.5,3.5,0.25,6.68,543,0.0,12,0,4.4,1,2
R00104,0,20,0.0,0,2,3,5,348.05,20.47,17,42.19,2,3,3,2.67,29.76,16.71,1.17,0.24,0.18,0.29,0.24,0,4.3,6.0,6.0,44.33,3.17,0.17,4.95,370,0.5,17,0,4.2,1,0
R00105,0,19,0.0,0,3,5,6,466.64,19.44,24,96.88799999999999,2,4,5,3.67,27.71,16.0,1.1,0.71,0.29,0.33,0.08,0,4.05,4.0,4.0,21.5,3.75,0.5,4.4,301,0.33,24,1,4.6,2,2
R00106,0,9,0.0,0,1,3,5,450.05,21.43,21,10.15,4,2,4,3.33,26.62,15.9,1.26,0.14,0.24,0.29,0.29,0,4.148,5.0,5.0,26.6,3.4,0.0,4.52,379,-0.33,20,0,5.0,0,2
R00108,0,9,0.0,0,4,6,8,344.52,17.23,20,73.242,4,5,2,3.67,34.05,15.1,1.12,0.2,0.4,0.25,0.3,0,4.125,13.0,13.0,89.0,2.85,0.15,5.54,368,0.67,19,1,4.5,0,1
R00109,0,2,0.0,2,2,3,5,380.53,18.12,21,23.86,5,3,3,3.67,32.71,14.3,1.16,0.62,0.43,0.19,0.1,0,4.252,2.0,2.0,69.5,1.5,0.5,4.66,190,0.5,21,0,3.9,2,1
R00110,0,43,0.0,0,0,4,7,282.25,23.52,12,0.0,1,1,1,1.0,37.0,18.3,1.22,0.42,0.58,0.25,0.33,0,4.217,3.0,3.0,17.33,3.67,0.0,4.17,411,-0.8,12,1,3.9,0,1
R00111,0,3,0.0,2,3,6,7,392.21,17.83,22,31.080000000000002,5,4,3,4.0,32.09,14.57,1.13,0.32,0.18,0.23,0.05,0,4.082,7.0,7.0,42.43,2.71,0.14,4.75,398,0.0,21,1,4.8,1,2
R00112,0,20,0.0,0,2,2,3,362.98,20.17,18,20.6,2,3,3,2.67,33.0,16.02,1.19,0.28,0.72,0.39,0.28,0,3.961,2.0,2.0,27.5,3.0,0.0,4.42,268,2.0,18,0,4.2,1,1
R00113,0,13,0.0,0,1,2,3,447.89,21.33,21,23.93,3,2,4,3.0,30.29,17.42,1.18,0.14,0.24,0.43,0.33,0,4.129,4.0,4.0,37.5,2.25,0.0,4.45,307,0.0,19,0,4.9,0,1
R00114,0,3,0.0,2,5,6,8,748.78,26.74,28,176.892,5,5,5,5.0,27.82,17.84,1.33,0.29,0.14,0.14,0.29,0,4.171,4.0,4.0,125.0,2.75,0.25,5.84,73,2.0,27,1,4.7,0,2
R00115,0,17,0.0,0,3,4,7,290.6,16.14,18,62.14,3,4,1,2.67,34.78,14.71,1.07,0.39,0.56,0.17,0.17,0,4.206,4.0,4.0,8.5,2.0,0.25,2.89,70,1.0,18,0,4.4,0,1
R00116,0,10,0.0,0,2,3,5,456.04,21.72,21,76.74000000000001,3,3,4,3.33,37.29,17.18,1.17,0.24,0.24,0.43,0.33,0,3.881,6.0,6.0,27.17,3.17,0.17,4.47,464,0.5,20,1,5.0,1,2
R00117,0,1,0.0,3,7,8,10,430.62,17.22,25,156.731,5,5,4,4.67,29.08,13.86,1.18,0.36,0.52,0.44,0.24,0,4.076,3.0,3.0,98.33,4.0,0.67,5.98,382,3.0,24,1,4.4,0,1
R00118,0,36,0.0,0,0,3,3,332.98,20.81,16,0.0,1,1,2,1.33,34.69,16.59,1.18,0.19,0.44,0.44,0.44,0,4.231,3.0,3.0,4.0,4.0,0.33,2.83,109,-0.75,16,0,4.5,1,2
R00119,0,4,0.0,1,3,4,4,276.42,16.26,17,35.27,5,4,1,3.33,30.59,14.82,1.06,0.18,0.41,0.35,0.12,0,4.165,4.0,4.0,98.0,1.5,0.0,5.0,676,1.0,17,1,5.0,0,1
R00120,0,2,0.0,1,2,3,4,243.76,17.41,14,31.315,5,3,1,3.0,35.71,14.84,1.15,0.29,0.14,0.29,0.29,0,4.029,6.0,6.0,385.83,2.83,0.67,7.0,319,0.5,14,0,4.6,3,2
R00121,0,7,0.0,0,1,1,2,156.76,17.42,9,11.17,4,2,1,2.33,30.89,14.05,1.12,0.56,0.33,0.44,0.11,0,4.111,3.0,3.0,243.33,2.67,0.33,6.48,348,1.0,9,1,4.3,0,2
R00122,0,58,0.0,0,0,1,3,333.86,18.55,18,0.0,1,1,2,1.33,32.5,15.38,1.12,0.17,0.28,0.39,0.22,0,4.072,3.0,3.0,109.0,3.0,0.0,5.79,588,-0.5,17,1,4.6,0,0
